det_x,det_y,truth_x,truth_y,dist
3.200037140000000022e+02,2.399983469999999954e+02,3.200040000000000191e+02,2.399979999999999905e+02,4.496721027739159241e-04
1.013806299999999965e+02,1.136978000000000044e+00,3.179180000000000064e+02,2.398489999999999895e+02,3.222915792474965997e+02
6.412057660000000396e+02,4.713050180000000182e+02,3.211419999999999959e+02,2.413149999999999977e+02,3.941271656277236843e+02
9.714549999999999574e-01,1.050492969999999957e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.444213586819569741e+02
1.587684309999999925e+02,4.126590630000000033e+02,3.179180000000000064e+02,2.398489999999999895e+02,2.349295706950271097e+02
6.374439200000000483e+02,4.098196659999999838e+02,3.211419999999999959e+02,2.413149999999999977e+02,3.583862819074664117e+02
2.393061720000000037e+02,-2.726667000000000129e+01,3.198020000000000209e+02,2.391239999999999952e+02,2.782868437214639243e+02
2.479930139999999881e+02,1.976281339999999886e+02,3.179180000000000064e+02,2.398489999999999895e+02,8.168295533885974180e+01
3.822073399999999879e+02,4.209539999999999949e-01,3.198020000000000209e+02,2.391239999999999952e+02,2.467256991685173375e+02
2.174870170000000087e+02,1.878279740000000118e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.131042417084300240e+02
6.381479279999999790e+02,4.382942869999999971e+02,3.211419999999999959e+02,2.413149999999999977e+02,3.732205753896340639e+02
5.862890599999999495e+02,1.298545310000000086e+02,3.209490000000000123e+02,2.398930000000000007e+02,2.872521751017171141e+02
2.109984900000000039e+02,3.221683859999999981e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.349379966134709434e+02
3.507748460000000250e+02,4.787257199999999813e+01,3.198020000000000209e+02,2.391239999999999952e+02,1.937431957550481343e+02
6.389645160000000033e+02,2.968214590000000044e+02,3.211419999999999959e+02,2.413149999999999977e+02,3.226331022497365097e+02
6.957617100000000221e+01,5.756507200000000068e+01,3.179180000000000064e+02,2.398489999999999895e+02,3.080602123581921319e+02
6.390000000000000000e+02,2.290000000000000000e+02,3.211589999999999918e+02,2.408129999999999882e+02,3.180604474781484328e+02
6.352219519999999875e+02,1.697790000000000132e-01,3.209490000000000123e+02,2.398930000000000007e+02,3.952653678801232218e+02
6.709456999999999560e+00,2.355191379999999981e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.112386623495254412e+02
2.627998509999999897e+02,2.904493099999999828e+01,3.198020000000000209e+02,2.391239999999999952e+02,2.176751254106104057e+02
3.960000000000000000e+02,4.790000000000000000e+02,3.211419999999999959e+02,2.413149999999999977e+02,2.491944609918125764e+02
1.408993000000000109e+02,1.929732150000000104e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.831200681767463436e+02
2.260383140000000139e+02,2.719651559999999790e+02,3.179180000000000064e+02,2.398489999999999895e+02,9.733100315765234711e+01
4.268506869999999935e+02,1.336766749999999888e+02,3.206779999999999973e+02,2.395600000000000023e+02,1.499463836771517435e+02
3.031700979999999959e+02,6.898214299999999355e+01,3.198020000000000209e+02,2.391239999999999952e+02,1.709528346285783584e+02
1.433487550000000113e+02,4.796402489999999830e+02,3.197250000000000227e+02,2.413679999999999950e+02,2.964493960928543288e+02
1.532257309999999961e+02,1.017212569999999943e+02,3.179180000000000064e+02,2.398489999999999895e+02,2.149484050990897970e+02
2.330609000000000037e+02,3.152381629999999859e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.135088248474565518e+02
1.039441259999999971e+02,2.312967209999999909e+02,3.179180000000000064e+02,2.398489999999999895e+02,2.141447179611529350e+02
2.446122199999999935e+01,1.675263980000000004e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.022373890076998464e+02
2.860099759999999947e+02,3.343762659999999869e+02,3.197250000000000227e+02,2.413679999999999950e+02,9.893048260090179724e+01
1.148787599999999998e+01,1.273236930000000058e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.264373839040185885e+02
2.610655419999999935e+02,4.691095629999999801e+02,3.197250000000000227e+02,2.413679999999999950e+02,2.351747255351576484e+02
9.414979999999999460e-01,2.939914939999999888e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.215672751955584658e+02
3.445877669999999853e+02,3.727253820000000246e+02,3.211419999999999959e+02,2.413149999999999977e+02,1.334855516061727769e+02
5.818604719999999588e+02,3.472776380000000245e+02,3.211419999999999959e+02,2.413149999999999977e+02,2.814288583175751910e+02
4.890000000000000000e+02,0.000000000000000000e+00,3.206779999999999973e+02,2.395600000000000023e+02,2.927819825125856141e+02
4.676570360000000051e+02,4.156567610000000172e+02,3.211419999999999959e+02,2.413149999999999977e+02,2.277316521756745828e+02
2.830068870000000061e+02,4.797703870000000279e+02,3.197250000000000227e+02,2.413679999999999950e+02,2.412134282115706583e+02
1.776770000000000016e-01,4.200511210000000233e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.652830645855936496e+02
4.509927270000000021e+02,4.465103310000000079e+02,3.211419999999999959e+02,2.413149999999999977e+02,2.428298481789833261e+02
3.572860719999999901e+02,2.661950099999999964e+01,3.198020000000000209e+02,2.391239999999999952e+02,2.157851193871861710e+02
7.596930999999999301e+01,1.383709910000000036e+02,3.179180000000000064e+02,2.398489999999999895e+02,2.623679761390863518e+02
1.728559840000000065e+02,3.010685629999999833e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.574510189865255256e+02
2.284442380000000128e+02,1.968780619999999999e+02,3.179180000000000064e+02,2.398489999999999895e+02,9.925752162447179217e+01
1.696956219999999860e+02,1.249922920000000062e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.875151639536710775e+02
5.690180709999999635e+02,3.224627970000000232e+02,3.211419999999999959e+02,2.413149999999999977e+02,2.608208418289271435e+02
2.751630819999999744e+02,4.285547710000000166e+02,3.197250000000000227e+02,2.413679999999999950e+02,1.924179091801103141e+02
6.288231950000000552e+02,-1.192079000000000111e+00,3.209490000000000123e+02,2.398930000000000007e+02,3.910352097488591880e+02
1.705784069999999986e+02,3.979058670000000006e+02,3.179180000000000064e+02,2.398489999999999895e+02,2.160808387415722223e+02
3.924670110000000136e+02,1.839540609999999958e+02,3.209490000000000123e+02,2.398930000000000007e+02,9.079642500584394327e+01
4.466708320000000185e+02,4.594944639999999936e+02,3.211419999999999959e+02,2.413149999999999977e+02,2.517136590942404837e+02
2.669642549999999801e+02,6.824065000000000047e+00,3.198020000000000209e+02,2.391239999999999952e+02,2.382332619465410630e+02
5.618203900000000317e+01,5.989729499999999973e+01,3.179180000000000064e+02,2.398489999999999895e+02,3.176292326172144840e+02
0.000000000000000000e+00,1.590000000000000000e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.280372166767057820e+02
3.987323289999999929e+02,3.251061500000000137e+02,3.211419999999999959e+02,2.413149999999999977e+02,1.141981434728723741e+02
4.720000000000000000e+02,4.790000000000000000e+02,3.211419999999999959e+02,2.413149999999999977e+02,2.815178420438036824e+02
3.045565240000000244e+02,1.359113820000000032e+02,3.198020000000000209e+02,2.391239999999999952e+02,1.043324927952960337e+02
6.053628660000000536e+02,3.602422589999999900e+02,3.211419999999999959e+02,2.413149999999999977e+02,3.080993242495723052e+02
5.549001289999999926e+02,7.082373800000000585e+01,3.209490000000000123e+02,2.398930000000000007e+02,2.886477890329306888e+02
6.182143139999999448e+02,3.647199959999999805e+02,3.211419999999999959e+02,2.413149999999999977e+02,3.216842439148591097e+02
1.046966730000000041e+02,4.094206980000000158e+02,3.179180000000000064e+02,2.398489999999999895e+02,2.724296148553680155e+02
3.620813100000000162e+01,3.418251210000000242e+02,3.179180000000000064e+02,2.398489999999999895e+02,2.995990312838208069e+02
6.327299130000000105e+02,6.608052399999999693e+01,3.209490000000000123e+02,2.398930000000000007e+02,3.569567404103249828e+02
4.673644869999999969e+02,2.506276520000000119e+02,3.211419999999999959e+02,2.413149999999999977e+02,1.465187400701298372e+02
4.551860800000000040e+02,7.266277999999999793e+00,3.206779999999999973e+02,2.395600000000000023e+02,2.684265204220694727e+02
4.220170479999999884e+02,3.825155199999999667e+01,3.206779999999999973e+02,2.395600000000000023e+02,2.253767820466762259e+02
4.226093660000000227e+02,4.739516259999999761e+02,3.211419999999999959e+02,2.413149999999999977e+02,2.538019427026551114e+02
2.156326400000000092e+02,2.914336579999999799e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.145568496917864820e+02
3.537145390000000020e+02,-1.174574999999999925e+00,3.198020000000000209e+02,2.391239999999999952e+02,2.426797590415342825e+02
6.909874399999999639e+01,3.086135980000000245e+02,3.179180000000000064e+02,2.398489999999999895e+02,2.581464547393497355e+02
2.790620999999999796e+00,3.919374199999999746e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.499087773884874650e+02
1.571297690000000102e+02,2.340080419999999890e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.608942883338843615e+02
5.501110149999999521e+02,1.376348360000000071e+02,3.209490000000000123e+02,2.398930000000000007e+02,2.509421471644631652e+02
4.351247849999999744e+02,3.320673550000000205e+02,3.211419999999999959e+02,2.413149999999999977e+02,1.456985422521524356e+02
1.900645340000000090e+02,2.169681190000000015e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.298847315258776689e+02
2.348567879999999946e+02,3.972683559999999829e+02,3.197250000000000227e+02,2.413679999999999950e+02,1.775036180166581232e+02
6.297975890000000163e+02,1.388013980000000060e+02,3.209490000000000123e+02,2.398930000000000007e+02,3.249722494648078737e+02
6.467129479999999830e+02,4.148057729999999879e+02,3.211419999999999959e+02,2.413149999999999977e+02,3.689112230574670548e+02
4.431799449999999752e+02,1.629102829999999926e+02,3.209490000000000123e+02,2.398930000000000007e+02,1.444532541422833560e+02
2.107961430000000007e+02,2.756158710000000269e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.129352084527190101e+02
4.197207940000000121e+02,2.602224959999999783e+02,3.211419999999999959e+02,2.413149999999999977e+02,1.003756545756213399e+02
1.128157000000000076e+00,3.147277960000000121e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.255190297330930207e+02
1.940000000000000000e+02,4.790000000000000000e+02,3.197250000000000227e+02,2.413679999999999950e+02,2.688414831252796375e+02
4.918926260000000070e+02,1.627710299999999961e+02,3.209490000000000123e+02,2.398930000000000007e+02,1.875353873985088171e+02
8.187010800000000188e+01,4.789407380000000103e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.359813484369397543e+02
5.318873220000000401e+02,2.578571759999999813e+02,3.211419999999999959e+02,2.413149999999999977e+02,2.113935531933239531e+02
2.356742250000000070e+02,1.389909979999999905e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.301398290058913005e+02
1.256655379999999980e+02,1.593476469999999949e+02,3.179180000000000064e+02,2.398489999999999895e+02,2.084261907244194276e+02
4.420250580000000014e+02,1.775417769999999962e+02,3.209490000000000123e+02,2.398930000000000007e+02,1.361876897168576193e+02
6.199891199999999714e+01,4.401596390000000270e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.249906640187377320e+02
1.303974000000000046e+02,1.798787409999999909e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.968766298697920263e+02
4.539697970000000282e+02,1.790288409999999999e+02,3.209490000000000123e+02,2.398930000000000007e+02,1.462838961926175045e+02
1.967917190000000005e+02,4.897768599999999850e+01,3.179180000000000064e+02,2.398489999999999895e+02,2.260606875530939135e+02
4.339351169999999911e+02,4.026871629999999982e+02,3.211419999999999959e+02,2.413149999999999977e+02,1.968838800762374603e+02
3.430181830000000218e+02,3.243210599999999886e+02,3.211419999999999959e+02,2.413149999999999977e+02,8.584039479972753384e+01
2.476840899999999834e+01,1.927061019999999871e+02,3.179180000000000064e+02,2.398489999999999895e+02,2.969160412226083849e+02
5.398738500000000329e+01,3.847369140000000129e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.010845016893921979e+02
1.331440890000000081e+02,2.232417859999999905e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.855187261250942186e+02
7.266345900000000313e+01,-1.583579999999999988e-01,3.179180000000000064e+02,2.398489999999999895e+02,3.431520388621650568e+02
6.848990000000000355e-01,3.608245180000000119e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.395171811933006438e+02
2.949859510000000000e+02,1.719089710000000082e+02,3.198020000000000209e+02,2.391239999999999952e+02,7.164981794422956796e+01
3.526812370000000101e+02,4.475220199999999977e+02,3.211419999999999959e+02,2.413149999999999977e+02,2.086050300635691030e+02
4.646927329999999756e+02,5.585415299999999661e+01,3.206779999999999973e+02,2.395600000000000023e+02,2.334268226726498199e+02
5.233967579999999771e+02,1.864801380000000108e+02,3.209490000000000123e+02,2.398930000000000007e+02,2.093753293639381639e+02
6.036303570000000036e+02,2.995483810000000062e+02,3.211419999999999959e+02,2.413149999999999977e+02,2.884281513709274236e+02
4.805041699999999878e+02,4.283213610000000244e+02,3.211419999999999959e+02,2.413149999999999977e+02,2.456983522158242579e+02
1.505576090000000136e+02,4.485552289999999971e+02,3.197250000000000227e+02,2.413679999999999950e+02,2.674773897705100012e+02
2.173870019999999954e+02,2.279697229999999877e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.012304241862037060e+02
3.785061479999999960e+02,3.523137399999999957e+02,3.211419999999999959e+02,2.413149999999999977e+02,1.249454511270958648e+02
2.628648039999999924e+02,2.383432039999999859e+02,3.179180000000000064e+02,2.398489999999999895e+02,5.507378515598899327e+01
1.814743290000000115e+02,1.540129400000000004e+01,3.179180000000000064e+02,2.398489999999999895e+02,2.626664197887097316e+02
4.899795900000000159e+01,2.841790609999999901e+02,3.179180000000000064e+02,2.398489999999999895e+02,2.725493400463582248e+02
5.717237890000000107e+02,3.860388639999999896e+02,3.211419999999999959e+02,2.413149999999999977e+02,2.893721302916558216e+02
6.175568070000000489e+02,2.947506720000000087e+02,3.211419999999999959e+02,2.413149999999999977e+02,3.011928100917066331e+02
5.655356900000000309e+01,4.017104039999999827e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.074255680596605771e+02
6.377661140000000159e+02,1.650232399999999870e+02,3.209490000000000123e+02,2.398930000000000007e+02,3.255434912354209587e+02
2.377590429999999913e+02,2.992812769999999887e+02,3.179180000000000064e+02,2.398489999999999895e+02,9.978804505917820222e+01
1.762094000000000094e+01,9.614690000000000181e-01,3.179180000000000064e+02,2.398489999999999895e+02,3.837259135267249235e+02
5.584396010000000388e+02,1.678726929999999982e+02,3.209490000000000123e+02,2.398930000000000007e+02,2.481707278945594339e+02
1.664704800000000162e+01,3.768398869999999761e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.309542107906063393e+02
4.825317749999999819e+02,2.710967899999999986e+01,3.206779999999999973e+02,2.395600000000000023e+02,2.670801066623151883e+02
4.262468109999999797e+02,2.978462630000000217e+02,3.211419999999999959e+02,2.413149999999999977e+02,1.193432234847077069e+02
2.561231999999999971e+02,1.205318670000000054e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.343695483894311735e+02
8.102817000000000291e+01,3.247478520000000231e+02,3.179180000000000064e+02,2.398489999999999895e+02,2.516438090403712238e+02
9.065466600000000597e+01,3.141980710000000272e+02,3.179180000000000064e+02,2.398489999999999895e+02,2.391158868401650182e+02
6.167752199999999903e+02,4.347818740000000162e+02,3.211419999999999959e+02,2.413149999999999977e+02,3.533106736328529109e+02
4.035863860000000045e+02,2.296067569999999876e+02,3.211589999999999918e+02,2.408129999999999882e+02,8.318565889002771030e+01
2.106656690000000083e+02,3.904997819999999820e+02,3.197250000000000227e+02,2.413679999999999950e+02,1.847545021932160694e+02
2.726264790000000175e+02,7.289778200000000652e+01,3.198020000000000209e+02,2.391239999999999952e+02,1.727908716692087410e+02
3.825167969999999968e+02,3.684364979999999719e+02,3.211419999999999959e+02,2.413149999999999977e+02,1.411621087989096566e+02
1.283217309999999998e+02,4.146169390000000021e+02,3.179180000000000064e+02,2.398489999999999895e+02,2.578576695020493048e+02
2.519798000000000204e+00,3.675671619999999962e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.402762917534676603e+02
7.186257999999999591e+00,2.088621190000000070e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.122729611741348208e+02
4.222171769999999924e+02,1.109433480000000003e+02,3.206779999999999973e+02,2.395600000000000023e+02,1.638671646106272988e+02
5.174364759999999706e+02,3.221939439999999877e+02,3.211419999999999959e+02,2.413149999999999977e+02,2.123038503905892185e+02
6.881443899999999303e+01,4.167981849999999895e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.055545747899137154e+02
5.554293109999999842e+02,3.342029249999999934e+02,3.211419999999999959e+02,2.413149999999999977e+02,2.520291862194066255e+02
1.962848140000000114e+02,6.659947699999999315e+01,3.179180000000000064e+02,2.398489999999999895e+02,2.116837952140837160e+02
6.386554159999999456e+02,1.620540019999999970e+02,3.209490000000000123e+02,2.398930000000000007e+02,3.271028529028889693e+02
1.039147499999999980e+01,1.762709380000000010e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.140298290708248032e+02
2.757088390000000118e+02,2.433021589999999890e+02,3.179180000000000064e+02,2.398489999999999895e+02,4.235017803272143766e+01
4.534344790000000103e+02,7.093976600000000587e+01,3.206779999999999973e+02,2.395600000000000023e+02,2.146091005309238824e+02
3.127959579999999846e+02,8.399613999999999692e+00,3.198020000000000209e+02,2.391239999999999952e+02,2.308307321817932234e+02
6.414429900000000373e+01,8.185628099999999563e+01,3.179180000000000064e+02,2.398489999999999895e+02,2.989360978139815757e+02
5.261851420000000417e+02,4.463694659999999885e+02,3.211419999999999959e+02,2.413149999999999977e+02,2.899827996757347819e+02
3.845745400000000132e+02,6.086046699999999987e+01,3.198020000000000209e+02,2.391239999999999952e+02,1.896664681373428607e+02
4.670471800000000258e+02,8.335716899999999896e+01,3.206779999999999973e+02,2.395600000000000023e+02,2.140636850712585613e+02
2.999834309999999959e+02,2.543634899999999988e+01,3.198020000000000209e+02,2.391239999999999952e+02,2.146047247082541674e+02
6.207127080000000205e+02,3.879861809999999878e+02,3.211419999999999959e+02,2.413149999999999977e+02,3.335491634340521614e+02
2.124245449999999948e+02,4.466141589999999724e+02,3.197250000000000227e+02,2.413679999999999950e+02,2.316017560975311369e+02
3.120807619999999929e+02,3.432900020000000154e+02,3.197250000000000227e+02,2.413679999999999950e+02,1.022082622212541736e+02
3.065534339999999816e+02,3.662150240000000281e+02,3.197250000000000227e+02,2.413679999999999950e+02,1.255399121895062535e+02
5.117902730000000133e+02,2.388546699999999845e+01,3.206779999999999973e+02,2.395600000000000023e+02,2.881655862104193488e+02
3.555357119999999895e+02,1.589721260000000029e+02,3.198020000000000209e+02,2.391239999999999952e+02,8.775660134149919145e+01
4.232348299999999881e+02,3.937781630000000064e+02,3.211419999999999959e+02,2.413149999999999977e+02,1.834883157298400533e+02
5.971238939999999502e+02,3.114491719999999759e+02,3.211419999999999959e+02,2.413149999999999977e+02,2.847539427259134186e+02
2.069639339999999947e+02,2.415742940000000090e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.109674790256983101e+02
3.661190480000000207e+02,2.125385229999999979e+02,3.209490000000000123e+02,2.398930000000000007e+02,5.280720261731190845e+01
1.546215039999999874e+02,3.505911820000000034e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.973057943396471785e+02
5.599811200000000326e+02,3.441390650000000164e+02,3.211419999999999959e+02,2.413149999999999977e+02,2.600325240916963594e+02
1.285729670000000056e+02,2.759672590000000127e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.927590987605051396e+02
2.594419700000000262e+02,9.133468000000000586e+01,3.179180000000000064e+02,2.398489999999999895e+02,1.596118708919336484e+02
4.131487230000000181e+02,2.888279689999999960e+02,3.211419999999999959e+02,2.413149999999999977e+02,1.035505639791193744e+02
6.470170000000000421e+00,3.794193730000000073e+02,3.179180000000000064e+02,2.398489999999999895e+02,3.412911364671928141e+02
1.699980649999999969e+02,2.068167359999999917e+02,3.179180000000000064e+02,2.398489999999999895e+02,1.515633123000745286e+02
2.267044119999999907e+02,4.728544790000000262e+02,3.197250000000000227e+02,2.413679999999999950e+02,2.494770926391503281e+02
3.337438510000000065e+02,3.192275849999999764e+02,3.211419999999999959e+02,2.413149999999999977e+02,7.892513889761882240e+01
6.326755220000000008e+02,3.285298990000000003e+02,3.211419999999999959e+02,2.413149999999999977e+02,3.235113196432308769e+02
6.143770829999999705e+02,9.304658799999999985e+01,3.209490000000000123e+02,2.398930000000000007e+02,3.281217892952685702e+02
2.777391969999999901e+02,3.279619979999999941e+02,3.197250000000000227e+02,2.413679999999999950e+02,9.623579450068885421e+01
3.119729219999999827e+02,5.152438599999999980e+01,3.198020000000000209e+02,2.391239999999999952e+02,1.877629080390455556e+02
2.652128599999999778e+02,3.954554909999999950e+02,3.197250000000000227e+02,2.413679999999999950e+02,1.634457961834891648e+02
6.004536819999999580e+02,1.554465559999999869e+02,3.209490000000000123e+02,2.398930000000000007e+02,2.919829946489456916e+02
1.806545279999999991e+02,4.532626420000000280e+02,3.197250000000000227e+02,2.413679999999999950e+02,2.534559833395356350e+02
1.820626249999999970e+02,4.221881260000000111e+02,3.197250000000000227e+02,2.413679999999999950e+02,2.272594276532802269e+02
5.055731999999999857e+02,2.945258610000000203e+02,3.211419999999999959e+02,2.413149999999999977e+02,1.919538050203780699e+02
2.134666550000000029e+02,4.669948079999999777e+02,3.197250000000000227e+02,2.413679999999999950e+02,2.493958547578685909e+02
