truth_idx,truth_x,truth_y,det_idx,det_x,det_y,dist
2478,239.233,117.512,465,239.459,120.919,3.415
2696,320.400,123.024,466,323.250,124.250,3.102
2743,334.357,123.515,467,332.500,121.500,2.740
2791,354.012,117.856,468,354.000,118.000,0.145
3071,456.165,119.347,469,457.030,118.576,1.159
218,519.220,122.555,470,518.853,122.574,0.368
3356,624.479,119.406,471,624.500,120.500,1.094
2088,76.980,120.867,472,77.000,121.000,0.135
2095,84.147,120.944,473,85.500,121.000,1.354
2107,92.838,120.279,474,93.000,120.000,0.323
2163,127.630,120.047,475,127.950,122.000,1.979
2502,250.975,120.394,476,251.000,120.000,0.395
2853,377.249,120.159,477,377.000,120.000,0.296
2878,388.378,120.279,478,389.500,121.500,1.658
2982,421.986,121.205,479,422.000,121.000,0.206
3004,429.855,120.593,480,429.500,120.500,0.367
136,4.699,125.628,481,5.618,124.218,1.683
2053,58.365,125.268,482,56.474,123.684,2.466
2188,145.144,122.627,483,145.000,123.000,0.399
2244,166.397,122.799,484,166.000,123.000,0.445
2293,183.749,123.464,485,184.000,123.000,0.527
2562,272.432,121.626,486,272.000,122.000,0.572
3203,506.216,122.212,487,506.448,122.586,0.441
2361,208.376,124.766,488,208.000,125.000,0.442
2612,290.328,124.630,489,290.000,125.000,0.495
2624,295.726,129.725,490,297.733,127.960,2.673
3167,480.070,126.807,491,482.016,127.738,2.158
2510,257.381,125.823,492,257.000,126.000,0.420
2788,350.298,126.923,493,350.000,127.000,0.308
2841,369.897,126.566,494,370.000,127.000,0.446
2874,384.148,126.796,495,384.000,127.000,0.252
3087,447.309,131.241,496,446.536,129.952,1.503
3326,574.790,126.464,497,575.000,126.000,0.509
3353,591.565,130.654,498,592.672,129.951,1.312
2483,247.614,127.778,499,248.000,128.000,0.445
2672,313.919,129.436,500,314.000,129.000,0.443
2758,341.666,127.993,501,341.950,130.000,2.027
3039,436.947,128.330,502,437.000,128.000,0.334
3207,499.451,127.977,503,499.000,128.000,0.451
3378,636.065,129.005,504,636.000,129.000,0.066
135,10.441,132.188,505,12.500,131.500,2.171
2038,56.606,130.883,506,56.917,130.917,0.313
2061,86.818,133.798,507,84.918,135.124,2.318
2155,141.690,131.227,508,142.000,131.000,0.384
2253,177.997,130.194,509,177.000,131.500,1.643
2302,194.604,130.289,510,195.000,130.000,0.490
2360,215.358,132.042,511,214.906,134.264,2.267
2524,264.425,132.919,512,265.000,131.500,1.531
2576,280.511,131.044,513,281.000,131.000,0.491
2659,308.153,129.778,514,308.000,130.000,0.269
3194,490.042,130.369,515,492.000,132.000,2.548
3231,506.326,129.573,516,506.000,130.000,0.537
3273,527.066,131.574,517,527.500,131.500,0.440
3288,540.755,130.003,518,540.950,132.000,2.006
223,615.045,130.182,519,615.500,130.732,0.714
2020,40.521,132.885,520,41.500,132.500,1.052
2197,164.358,132.797,521,164.000,133.000,0.411
2835,365.205,131.612,522,365.000,132.000,0.439
3124,452.736,136.084,523,455.355,136.419,2.640
3328,563.759,132.928,524,564.000,133.000,0.251
3348,581.364,132.289,525,581.000,132.000,0.465
2021,48.324,135.084,526,48.000,135.000,0.335
2166,152.402,135.066,527,153.500,136.000,1.442
2402,236.539,142.316,528,237.709,140.544,2.123
2548,273.063,133.996,529,271.000,136.000,2.876
2597,290.787,139.899,530,289.977,137.512,2.521
3021,423.086,135.334,531,422.500,137.000,1.766
3161,466.849,134.875,532,467.500,135.000,0.663
3367,606.655,134.789,533,607.000,135.000,0.405
3389,628.168,136.590,534,629.709,135.618,1.822
2697,320.685,140.022,535,322.328,140.738,1.792
2750,336.457,136.981,536,336.000,137.000,0.457
2800,351.942,135.638,537,352.000,136.000,0.367
2921,389.209,137.578,538,390.500,137.500,1.293
3362,587.786,137.054,539,588.000,137.000,0.221
3391,614.704,141.948,540,614.000,139.500,2.547
1994,20.346,139.119,541,21.500,140.500,1.800
2030,67.286,139.186,542,67.000,139.000,0.341
2066,102.827,138.695,543,103.000,139.000,0.351
2844,365.154,140.478,544,364.319,140.971,0.970
2880,379.050,138.488,545,379.000,138.000,0.490
3086,439.082,137.900,546,439.000,138.000,0.129
3250,497.400,139.654,547,499.000,139.500,1.607
3325,546.928,138.603,548,548.581,141.512,3.346
3343,562.657,138.683,549,561.000,138.500,1.667
2011,48.933,141.239,550,49.000,141.000,0.248
2570,282.594,141.246,551,283.000,143.500,2.290
2987,406.210,141.221,552,406.525,143.875,2.672
3196,474.823,140.333,553,475.000,140.000,0.377
3278,514.230,140.332,554,514.000,140.000,0.404
3313,524.746,144.864,555,523.000,143.000,2.554
3357,573.454,139.776,556,573.000,140.000,0.506
2089,126.770,144.442,557,127.967,145.393,1.529
2114,139.881,142.697,558,140.000,143.000,0.325
2156,169.612,148.164,559,172.494,147.235,3.028
154,212.913,143.042,560,213.000,143.000,0.097
2879,375.442,143.325,561,375.000,143.000,0.548
202,395.822,141.665,562,396.000,142.000,0.379
3226,482.613,142.230,563,483.000,142.000,0.450
3347,537.936,149.597,564,539.536,147.984,2.272
2010,56.362,144.965,565,56.000,145.000,0.364
144,147.462,146.132,566,148.351,146.737,1.076
2221,188.407,143.549,567,188.000,144.000,0.608
2288,206.301,144.195,568,207.000,146.500,2.409
2366,228.048,143.970,569,228.091,143.909,0.075
2446,252.794,149.522,570,254.564,148.779,1.921
2615,296.096,144.487,571,296.000,144.000,0.497
2826,354.812,149.673,572,354.500,147.500,2.195
2909,381.673,144.052,573,381.909,144.091,0.240
3280,506.460,144.827,574,506.000,145.000,0.491
3401,621.697,144.745,575,622.000,145.000,0.396
3419,629.905,148.889,576,631.693,148.080,1.963
1971,10.748,148.784,577,9.500,148.000,1.473
1983,18.373,145.964,578,18.000,146.000,0.374
3102,429.811,149.647,579,429.535,148.155,1.517
1989,43.047,149.124,580,43.000,149.000,0.132
2042,105.128,148.990,581,105.250,152.443,3.455
2059,115.218,148.006,582,115.500,148.500,0.569
2519,271.939,148.892,583,272.000,149.000,0.124
2898,373.985,152.776,584,375.242,152.879,1.261
3150,443.232,148.737,585,443.000,149.000,0.351
2029,97.203,151.165,586,95.500,152.500,2.164
2077,133.754,151.498,587,134.000,151.000,0.556
2666,313.233,149.831,588,315.500,151.500,2.815
2753,335.111,151.672,589,335.000,151.000,0.681
2782,343.070,150.298,590,343.000,150.000,0.306
2977,392.940,154.220,591,395.016,154.738,2.140
3195,458.907,150.564,592,459.000,151.000,0.446
3392,588.600,151.118,593,589.000,151.000,0.417
1975,30.259,152.974,594,30.000,153.000,0.260
2015,84.619,152.715,595,83.000,153.000,1.644
2219,198.912,151.726,596,197.500,152.000,1.439
2320,227.114,153.627,597,228.405,153.568,1.293
2553,283.811,155.920,598,285.474,156.526,1.769
3049,412.676,152.994,599,413.000,153.000,0.324
3136,436.296,151.858,600,436.000,152.000,0.328
3267,483.960,151.876,601,484.000,152.000,0.130
3311,502.307,155.013,602,503.787,153.936,1.830
3374,567.029,151.982,603,567.000,152.000,0.035
3416,598.422,157.855,604,597.500,155.500,2.529
1977,39.081,154.231,605,39.000,154.000,0.245
2043,119.509,154.710,606,120.000,155.000,0.570
2079,141.001,154.854,607,141.000,155.000,0.146
2132,166.238,154.259,608,166.000,154.000,0.352
3198,453.639,154.538,609,454.000,155.000,0.586
3242,467.953,154.045,610,468.000,154.000,0.065
3340,520.606,154.903,611,519.000,155.000,1.609
3369,556.388,153.583,612,556.580,155.600,2.026
3411,604.374,153.805,613,604.000,154.000,0.422
3424,617.755,154.337,614,618.000,154.000,0.416
133,8.228,155.935,615,8.000,156.000,0.237
1978,62.845,161.321,616,63.000,161.000,0.357
1992,68.040,155.811,617,68.000,156.000,0.193
3405,578.361,159.156,618,577.629,158.000,1.368
3406,587.718,156.848,619,588.000,157.000,0.321
2206,205.168,158.643,620,205.000,159.000,0.395
2388,246.803,159.312,621,247.091,158.909,0.496
3183,440.305,159.095,622,440.000,159.000,0.319
3240,451.107,163.365,623,451.506,163.765,0.565
3304,491.396,158.966,624,491.000,159.000,0.398
224,546.002,159.100,625,547.500,160.000,1.747
3430,612.229,157.964,626,612.000,158.000,0.231
1950,21.691,166.111,627,21.068,164.446,1.777
1968,47.870,160.790,628,48.000,161.000,0.247
1998,94.074,163.247,629,93.629,162.000,1.324
2071,152.291,161.224,630,152.000,161.000,0.368
2222,214.115,162.325,631,211.837,162.531,2.288
2457,263.160,159.576,632,263.000,160.000,0.454
2801,344.445,160.457,633,344.500,161.000,0.545
3068,409.496,159.950,634,410.500,162.000,2.283
2034,130.228,162.327,635,130.000,162.000,0.398
2091,165.464,163.259,636,165.000,163.000,0.532
2262,226.217,166.652,637,225.500,165.000,1.801
2581,293.719,162.273,638,294.000,162.000,0.392
179,303.437,163.649,639,302.133,165.022,1.893
2669,315.079,166.834,640,314.653,166.720,0.441
2768,336.889,162.395,641,337.000,162.000,0.410
2872,362.195,162.134,642,362.000,162.000,0.237
2990,388.500,163.407,643,388.000,163.000,0.645
3345,497.746,165.896,644,499.333,164.556,2.077
3352,511.664,162.353,645,512.000,162.000,0.487
3397,562.737,162.297,646,563.000,162.000,0.397
3436,589.440,169.213,647,588.792,168.333,1.093
1942,1.425,163.657,648,1.333,164.000,0.355
1963,55.472,164.752,649,55.000,165.000,0.534
1974,74.171,166.190,650,76.000,165.000,2.182
2145,192.574,164.102,651,193.000,164.000,0.438
2496,275.311,164.435,652,275.000,164.000,0.535
2720,324.707,170.414,653,327.000,168.667,2.883
3434,605.330,164.901,654,605.000,165.000,0.345
3445,636.252,164.106,655,636.000,164.000,0.273
1996,106.038,167.707,656,105.000,167.500,1.058
2126,185.453,165.688,657,185.000,166.000,0.550
2289,233.238,166.837,658,233.000,167.000,0.289
222,470.075,166.722,659,470.526,168.105,1.456
3420,566.847,167.490,660,567.000,167.000,0.513
3421,574.007,165.755,661,574.000,166.000,0.245
3439,597.687,168.941,662,596.500,168.000,1.515
3446,618.649,168.683,663,620.455,168.382,1.830
1952,38.252,168.564,664,38.000,169.000,0.504
1979,86.628,168.270,665,87.000,168.000,0.460
2008,121.261,168.836,666,121.000,169.000,0.308
2063,165.829,168.880,667,166.000,169.000,0.209
2515,282.068,169.396,668,282.500,169.500,0.444
3093,403.783,169.332,669,404.000,169.000,0.397
3412,544.512,173.114,670,544.758,171.597,1.537
2032,149.850,171.320,671,149.500,173.000,1.717
2083,183.029,174.387,672,181.048,173.323,2.248
2184,214.463,169.911,673,214.000,170.000,0.471
2334,246.293,169.572,674,246.000,170.000,0.519
2379,259.411,175.149,675,260.500,173.000,2.409
2486,276.293,170.941,676,276.000,171.000,0.299
3179,421.335,171.166,677,422.151,171.342,0.835
3227,432.744,172.730,678,433.333,173.667,1.107
3398,513.215,178.768,679,513.841,178.437,0.709
1988,112.753,172.188,680,113.000,172.000,0.311
2012,134.761,172.404,681,135.000,172.000,0.470
2893,360.465,173.385,682,360.000,173.000,0.604
226,563.036,172.117,683,563.000,172.000,0.122
1927,10.425,177.166,684,10.066,176.295,0.942
2041,165.054,175.146,685,165.000,175.000,0.156
2662,314.161,175.273,686,313.000,176.000,1.370
2832,346.611,174.932,687,347.000,175.000,0.395
2961,370.135,177.550,688,369.000,176.500,1.546
3105,391.980,180.895,689,391.912,179.824,1.074
3140,406.646,174.736,690,407.000,175.000,0.442
3307,459.891,174.580,691,460.000,175.000,0.434
3428,553.850,173.714,692,554.000,174.000,0.323
3454,612.683,174.042,693,613.000,174.000,0.319
1941,50.467,175.562,694,50.000,176.000,0.640
1960,96.209,178.784,695,94.000,177.500,2.555
2181,224.773,177.228,696,225.000,177.000,0.322
2283,244.180,177.406,697,243.000,178.429,1.562
2619,307.132,185.108,698,306.292,185.769,1.069
3006,378.561,176.641,699,378.500,177.000,0.364
3272,438.945,177.557,700,441.000,177.000,2.129
3341,471.513,175.829,701,472.000,176.000,0.516
3377,499.608,176.623,702,500.000,177.000,0.543
3478,627.910,181.979,703,626.333,180.333,2.279
3469,636.283,177.266,704,636.000,177.000,0.388
134,115.141,178.089,705,115.000,178.000,0.167
1982,121.253,178.174,706,121.500,180.500,2.339
1987,129.461,177.700,707,129.000,178.000,0.550
2804,337.930,184.119,708,336.043,184.957,2.064
3314,453.553,177.967,709,454.000,178.000,0.448
3390,491.668,182.612,710,491.000,180.500,2.215
3423,527.959,179.382,711,528.000,179.000,0.384
3456,600.916,178.704,712,601.000,179.000,0.307
1937,61.353,182.436,713,63.500,181.000,2.582
1944,73.994,180.756,714,74.000,181.000,0.244
130,86.065,187.031,715,85.241,185.152,2.052
1961,104.061,179.512,716,104.000,180.000,0.492
2078,194.826,180.466,717,194.500,180.000,0.569
2129,211.350,179.718,718,211.000,180.000,0.449
3239,420.359,181.128,719,420.000,181.000,0.381
3438,546.906,180.789,720,547.000,181.000,0.231
1910,12.823,186.881,721,14.689,186.033,2.049
140,201.435,182.689,722,202.452,184.381,1.974
2137,220.229,182.085,723,220.000,182.000,0.244
2686,318.967,182.442,724,319.500,183.500,1.185
3211,411.882,182.884,725,410.500,184.500,2.127
3333,444.486,185.902,726,443.500,184.500,1.714
1957,115.421,185.454,727,114.500,186.000,1.071
2147,226.611,184.056,728,227.000,184.000,0.393
2748,328.580,184.169,729,329.000,184.000,0.452
3380,480.553,183.969,730,481.000,184.000,0.448
3472,595.162,186.103,731,593.579,185.632,1.651
1908,27.958,189.933,732,26.500,188.500,2.044
1916,33.508,186.228,733,34.000,186.000,0.543
129,69.826,191.359,734,68.543,191.543,1.296
1997,163.021,186.757,735,163.000,187.000,0.244
2265,253.473,187.414,736,254.500,189.000,1.890
2365,269.061,186.822,737,267.583,187.562,1.653
1967,141.367,188.367,738,142.792,190.038,2.197
2022,189.331,189.418,739,190.500,190.000,1.306
2094,215.361,187.525,740,216.000,188.500,1.166
174,297.346,188.867,741,297.000,189.000,0.371
3366,461.270,187.884,742,461.000,188.000,0.294
3431,499.864,189.520,743,498.000,189.500,1.864
3455,551.634,188.757,744,552.000,189.000,0.440
3491,618.284,189.930,745,619.500,189.000,1.531
1917,56.704,189.905,746,57.000,190.000,0.311
1958,134.711,190.315,747,135.000,190.000,0.428
145,232.470,191.307,748,232.000,191.000,0.561
2983,362.375,190.846,749,364.000,193.000,2.699
3319,421.468,193.781,750,422.000,192.000,1.859
3437,507.484,190.855,751,507.000,191.000,0.505
3450,536.162,190.485,752,535.023,192.512,2.325
3474,566.015,192.439,753,566.314,190.829,1.638
2484,289.170,192.032,754,289.000,192.000,0.173
3375,448.930,194.172,755,450.240,195.281,1.716
3417,482.324,192.172,756,482.000,192.000,0.367
3487,593.528,191.823,757,592.000,192.500,1.672
1888,11.766,198.140,758,12.959,199.443,1.767
1905,39.927,194.910,759,40.000,195.000,0.116
1972,178.500,197.726,760,176.500,196.500,2.346
185,321.884,195.510,761,323.500,195.500,1.616
3285,392.583,203.482,762,392.106,204.553,1.172
3266,404.435,194.540,763,404.000,195.000,0.633
3410,466.254,195.259,764,466.000,195.000,0.362
3448,513.197,195.030,765,512.519,195.111,0.683
3495,612.040,195.289,766,612.000,195.000,0.292
1906,46.858,195.699,767,47.000,196.000,0.333
1920,104.661,198.592,768,103.585,197.585,1.474
1923,126.440,201.997,769,126.000,199.000,3.029
132,157.809,197.374,770,158.000,197.000,0.420
1999,198.045,198.503,771,198.098,199.059,0.558
2348,275.524,196.151,772,277.500,196.500,2.006
3158,380.318,196.667,773,380.000,197.000,0.461
3471,542.860,196.285,774,542.473,198.581,2.329
3505,627.562,196.239,775,627.934,197.361,1.182
1903,59.675,198.432,776,60.000,198.000,0.541
1904,90.430,203.343,777,92.719,201.688,2.824
1924,111.857,198.597,778,112.000,199.000,0.428
2073,240.403,202.487,779,241.818,201.260,1.873
2416,290.015,202.881,780,290.306,200.645,2.254
2994,354.366,201.829,781,353.000,200.000,2.283
3322,414.046,197.536,782,414.000,198.000,0.466
3373,435.424,198.548,783,435.000,199.000,0.620
3457,487.811,203.490,784,489.000,200.667,3.063
229,560.020,202.860,785,559.000,200.500,2.571
3492,575.112,198.615,786,575.000,199.000,0.401
3493,581.236,198.553,787,581.000,199.000,0.506
2867,340.901,200.222,788,341.500,201.054,1.025
3109,367.649,201.119,789,367.891,202.870,1.768
3429,460.071,200.545,790,460.000,201.000,0.460
3460,506.880,200.454,791,507.000,200.000,0.470
3482,529.714,201.154,792,529.552,201.586,0.462
3509,593.800,201.631,793,594.000,201.333,0.358
1874,43.502,208.647,794,45.492,207.708,2.200
1882,72.956,209.591,795,73.635,208.541,1.250
1945,167.518,203.238,796,166.500,204.500,1.622
2005,215.829,203.265,797,213.962,203.208,1.867
2287,275.542,202.593,798,276.000,203.000,0.612
2589,308.235,203.400,799,308.000,203.000,0.464
3426,453.825,201.681,800,454.000,202.000,0.363
3452,471.606,205.633,801,471.903,204.935,0.758
3481,518.070,203.185,802,517.486,202.568,0.850
3513,608.048,201.757,803,608.000,202.000,0.247
1889,62.198,203.566,804,62.000,204.000,0.477
1929,149.510,204.492,805,147.500,205.500,2.249
2026,228.175,203.531,806,228.000,204.000,0.501
2757,326.488,205.211,807,326.000,205.000,0.531
3418,433.422,206.621,808,434.000,206.000,0.848
3473,497.853,205.367,809,498.000,205.000,0.396
3523,624.695,205.200,810,625.000,205.000,0.365
1865,6.787,207.969,811,5.000,207.000,2.033
1872,24.994,207.051,812,25.000,207.000,0.052
1876,32.681,206.521,813,33.000,207.000,0.575
1925,189.855,213.877,814,187.284,214.905,2.769
3396,423.878,206.356,815,424.000,206.000,0.377
3497,549.812,205.971,816,550.000,206.000,0.190
3515,574.046,207.194,817,575.000,207.500,1.001
3522,602.266,207.070,818,602.000,207.000,0.275
1890,106.908,209.756,819,106.500,209.500,0.481
1899,117.092,209.423,820,117.000,209.000,0.433
1919,156.021,208.700,821,156.000,209.000,0.301
2430,296.077,209.284,822,296.000,209.000,0.295
2958,345.026,208.409,823,345.000,208.000,0.410
3379,408.530,209.059,824,410.500,210.000,2.183
3502,538.189,208.586,825,535.500,209.000,2.720
3521,585.461,208.963,826,585.000,209.000,0.462
1921,170.539,210.938,827,171.000,211.000,0.465
1969,227.160,212.863,828,229.500,211.500,2.708
2037,249.140,210.647,829,248.815,213.296,2.669
2070,258.124,211.001,830,258.000,211.000,0.124
3409,418.929,209.547,831,419.000,210.000,0.458
3498,524.738,209.725,832,525.000,210.000,0.380
1893,131.685,212.373,833,132.000,212.000,0.488
2520,305.622,212.504,834,305.827,214.885,2.389
2766,325.284,215.028,835,323.889,214.000,1.733
3156,357.394,212.839,836,357.000,213.000,0.426
220,377.427,211.777,837,377.000,212.000,0.482
3467,454.551,213.176,838,455.000,213.000,0.482
3520,551.917,212.555,839,552.000,213.000,0.453
233,623.207,212.143,840,623.979,213.574,1.626
3531,632.173,211.548,841,632.000,212.000,0.484
1856,4.652,214.026,842,5.000,214.000,0.349
2121,272.369,213.880,843,274.488,214.535,2.219
2216,285.804,215.213,844,286.000,215.000,0.289
3499,492.809,214.457,845,493.000,214.000,0.496
3538,568.351,218.721,846,569.754,218.130,1.521
3530,584.663,215.170,847,583.965,216.053,1.125
3529,597.345,213.777,848,597.000,214.000,0.411
3549,616.525,218.692,849,615.500,216.500,2.420
1857,40.950,215.876,850,40.909,216.091,0.218
126,153.017,217.154,851,153.000,218.000,0.847
1948,221.025,215.794,852,220.917,215.917,0.164
3453,424.367,216.371,853,423.000,217.500,1.773
3464,438.005,216.030,854,438.000,216.000,0.030
3519,511.389,216.467,855,509.500,216.000,1.946
3524,527.164,216.748,856,527.000,217.000,0.301
1854,95.330,221.974,857,96.907,220.581,2.104
1871,145.638,220.916,858,144.000,220.000,1.877
1900,174.642,217.731,859,175.000,218.000,0.448
1951,236.670,219.022,860,237.000,219.000,0.331
3062,343.912,218.354,861,344.000,218.000,0.365
3354,372.545,218.849,862,372.500,219.500,0.652
3514,487.956,217.730,863,488.000,218.000,0.273
3527,545.575,217.513,864,546.000,218.000,0.646
1852,59.194,220.283,865,59.000,220.000,0.343
1834,109.353,230.088,866,109.567,226.944,3.150
1902,201.747,221.227,867,202.000,221.000,0.339
2634,316.255,220.293,868,316.000,220.000,0.388
3259,355.076,220.401,869,355.000,220.000,0.408
3318,361.631,220.967,870,362.000,221.000,0.371
3442,393.365,221.459,871,393.000,221.000,0.586
3496,453.475,219.801,872,453.000,220.000,0.515
3534,533.584,221.029,873,534.000,221.000,0.417
1841,5.810,221.601,874,6.000,222.000,0.442
1843,23.271,221.975,875,23.000,222.000,0.273
1980,264.559,222.959,876,263.500,223.000,1.059
2746,322.622,222.212,877,323.000,222.000,0.433
3554,602.377,221.591,878,602.000,222.000,0.556
124,76.631,227.619,879,77.316,228.404,1.041
1864,166.838,225.008,880,167.000,225.000,0.162
1862,216.202,230.082,881,214.628,228.942,1.944
1943,272.306,228.564,882,272.000,226.500,2.086
2257,301.231,225.384,883,301.000,225.000,0.448
3153,333.057,230.413,884,332.422,228.250,2.254
3435,379.461,224.374,885,379.000,224.000,0.593
3517,399.168,230.127,886,399.176,228.993,1.134
3567,466.828,232.782,887,465.720,231.601,1.619
3545,516.314,224.998,888,517.407,226.685,2.010
3556,561.225,224.558,889,560.587,225.333,1.003
3558,582.775,224.228,890,583.000,224.000,0.320
3560,589.497,224.141,891,589.586,224.448,0.319
1838,54.297,226.301,892,55.228,226.912,1.114
1848,126.702,226.699,893,127.000,227.000,0.424
1840,184.216,232.333,894,182.802,230.716,2.148
1901,231.907,226.496,895,230.000,227.000,1.972
2074,291.419,226.489,896,291.000,226.000,0.644
2513,313.117,227.334,897,313.000,227.000,0.354
3525,449.969,226.426,898,450.000,226.000,0.427
3543,486.416,227.081,899,486.000,227.000,0.424
3559,500.767,229.330,900,501.714,228.592,1.201
3568,622.697,226.042,901,623.000,226.000,0.306
1816,7.859,233.507,902,6.667,233.667,1.203
1819,39.130,233.880,903,37.000,235.017,2.414
1845,135.384,228.002,904,135.000,228.000,0.384
1976,281.880,228.533,905,282.000,230.000,1.472
3566,478.882,231.677,906,478.000,230.500,1.471
3570,609.762,229.273,907,607.500,230.500,2.574
1829,68.521,230.272,908,69.000,230.000,0.551
1827,82.369,232.642,909,82.925,232.275,0.667
1842,168.067,230.958,910,168.000,231.000,0.079
